id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
24119849,2 Spacious rooms. Great connections. Breakfast.,181680801,Linda,,Avonmouth & Lawrence Weston,51.50108,-2.70142,Private room,47,1,56,2019-05-16,4.87,3,157
24141858,Beautiful 5 Bed - walking distance to city centre,10255142,Natalie,,Redland,51.47318,-2.61153,Entire home/apt,300,2,8,2018-09-18,0.64,1,0
24149408,Spacious 2BR Garden Flat in Bristol,160402062,Jade,,Ashley,51.46884,-2.57936,Entire home/apt,110,2,21,2019-05-12,1.63,2,117
24167258,City of Bristol apartment with a view!,182138405,Joe,,Ashley,51.46076,-2.59098,Entire home/apt,55,2,41,2019-04-28,3.10,1,58
24174830,The Harbourside Loft - Stylish 1BDR Apartment,59436467,Gregg,,Central,51.45343,-2.59886,Entire home/apt,61,2,19,2019-04-21,1.72,3,359
24176319,Redlands Garden Ranch,12386872,Stasia,,Cotham,51.46968,-2.60543,Entire home/apt,64,3,18,2019-04-21,1.47,1,285
24197676,Centrally located one bed apartment with balcony,182383886,Feroz,,Lawrence Hill,51.45725,-2.57563,Entire home/apt,71,2,42,2019-05-06,3.44,1,156
24198703,Private Single OR Double room on airport bus route,60100322,Celia,,Bedminster,51.43802,-2.60359,Private room,33,1,58,2019-05-14,4.26,1,85
24198779,Studio 2 at Kent House - Airbristol,65192629,Airbristol,,Central,51.45043,-2.59586,Entire home/apt,60,1,31,2019-04-26,2.37,69,356
24212234,Riverside Walk,180921416,Ed,,Brislington East,51.45421,-2.53834,Entire home/apt,65,1,69,2019-05-14,5.69,1,74
24212442,2 rooms sleeps 5- summerhouse & indoor room,23494368,Charlotte,,Windmill Hill,51.43876,-2.58993,Private room,70,3,0,,,7,78
24212795,"Private room/bathroom, great location",4579188,Rhiannon,,Ashley,51.46966,-2.59301,Private room,33,1,6,2019-04-15,1.70,1,123
24216471,Studio 7 at Kent House - Airbristol,65192629,Airbristol,,Central,51.45113,-2.59597,Entire home/apt,60,1,31,2018-10-16,2.37,69,343
24216933,Studio 5 at Kent House - Airbristol,65192629,Airbristol,,Central,51.45013,-2.5962,Entire home/apt,60,1,31,2019-04-01,2.46,69,358
24217586,Studio 1 at Kent House - Airbristol,65192629,Airbristol,,Central,51.44932,-2.59596,Entire home/apt,60,1,19,2018-10-14,1.51,69,359
24218509,Studio 4 at Kent House - Airbristol,65192629,Airbristol,,Central,51.45022,-2.59609,Entire home/apt,60,1,68,2019-05-02,5.31,69,240
24218715,Studio 6 at Kent House - Airbristol,65192629,Airbristol,,Central,51.45007,-2.59586,Entire home/apt,60,1,24,2019-04-27,2.09,69,345
24219138,Studio 8 at Kent House - Airbristol,65192629,Airbristol,,Central,51.44885,-2.59731,Entire home/apt,60,1,55,2019-05-12,4.44,69,338
24219386,Studio 9 at Kent House - Airbristol,65192629,Airbristol,,Central,51.45023,-2.59615,Entire home/apt,60,1,0,,,69,191
24219492,Studio 10 at Kent House - Airbristol,65192629,Airbristol,,Central,51.45025,-2.59709,Entire home/apt,60,1,21,2019-04-22,1.76,69,358
24228345,2 Bedroom Apartment Near Centre,8560772,Ahmed,,Ashley,51.46506,-2.5841,Entire home/apt,105,2,6,2019-01-31,0.85,3,0
24228483,A cozy one bedroom apartment near center,8560772,Ahmed,,Ashley,51.46559,-2.58418,Entire home/apt,75,2,3,2018-12-09,0.46,3,0
24228551,One bedroom apartment near center,8560772,Ahmed,,Ashley,51.46529,-2.58404,Entire home/apt,75,2,1,2018-11-25,0.17,3,0
24235090,"Secluded, large house in the heart of Bristol",21649042,Andrew,,Redland,51.47197,-2.59433,Entire home/apt,120,3,17,2019-01-03,1.28,2,14
24238429,★Bohemian Bedroom ★Garden★ Vibrant Art Quarter★,77416781,Oliver,,Redland,51.46929,-2.59477,Private room,33,1,50,2019-05-17,3.69,1,305
24241947,"City Centre, modern double room on Portland Square",3877537,Mel,,Ashley,51.4625,-2.5851,Private room,30,3,19,2019-03-15,1.45,1,184
24242456,Lovely Relaxing Bishopston Victorian Family Home,4839930,Patrick,,Bishopston & Ashley Down,51.47643,-2.58355,Entire home/apt,135,4,4,2018-12-27,0.43,1,17
24255383,"Cosy, comfortable room with sofa bed and TV",6660816,Adela,,Easton,51.46813,-2.55637,Private room,34,1,11,2019-02-10,0.85,2,158
24257440,"Lovely Whole house, Bishopston, Bristol. .",182900839,Noo,,Redland,51.47573,-2.59491,Entire home/apt,37,7,1,2018-05-27,0.08,3,53
24261328,Cosy double room in-between centre and airport.,44979965,Chris,,Bedminster,51.43335,-2.62422,Private room,45,1,1,2018-04-10,0.07,2,260
24265888,Victoria Park double bedroom,5729625,Ben,,Windmill Hill,51.43866,-2.58279,Private room,29,3,30,2019-04-14,2.22,1,0
24283278,Private bedroom and bathroom in a quite apartment,10314768,Pierre Et Mathilde,,Central,51.45519,-2.59611,Private room,33,2,15,2019-05-06,1.13,2,102
24317219,Norfolk guest house single,168084304,Kurtis,,Horfield,51.49133,-2.58549,Private room,40,4,0,,,2,362
24333995,Double room in modern central executive apartment.,12543798,Ant,,Lawrence Hill,51.45821,-2.57922,Private room,38,1,30,2018-08-27,2.46,1,0
24352401,Guest room in Bristol City Centre town house.,37130975,Jon,,Central,51.45644,-2.59757,Private room,30,1,87,2019-03-31,6.71,2,0
24373476,Double room in cozy apartment in city centre,183942981,Paloma,,Lawrence Hill,51.45608,-2.5817,Private room,35,1,69,2019-05-09,5.24,1,68
24374131,Double room in Bristol's cultural quarter.,133895625,Mike,,Clifton Down,51.45834,-2.61102,Private room,38,2,29,2019-04-02,2.64,3,55
24374815,Cosy En-suite room in Clifton,31085128,Damian,,Clifton Down,51.46659,-2.61613,Private room,40,2,25,2019-03-24,2.00,1,195
24378075,The Lounge - yourapartment,125651447,Charlie,,Cotham,51.46298,-2.59795,Entire home/apt,65,2,5,2018-10-12,0.39,71,79
24382759,Double bedroom in a secluded oasis,21649042,Andrew,,Redland,51.47128,-2.59503,Private room,40,1,20,2018-12-07,1.71,2,0
24388910,The Castle - yourapartment,125651447,Charlie,,Central,51.45405,-2.5938,Entire home/apt,74,2,5,2019-04-21,0.41,71,279
24389014,Beautiful 1-bedroom Flat With A Great Location,136211227,Sami,,Clifton Down,51.46053,-2.60928,Entire home/apt,74,1,114,2019-05-12,8.68,2,54
24394638,Perfect pad for 4 in vibrant central location.,14334711,Lizzy,,Ashley,51.46418,-2.58581,Entire home/apt,64,2,33,2019-05-16,2.77,6,317
24415895,"Bright, quiet room nr. Bath Road and Temple Meads",19493325,Katie,,Brislington West,51.4366,-2.55776,Private room,42,1,5,2019-03-03,0.53,1,51
24423082,Bright picturesque room in the heart of Bristol,44664466,Sesilia,,Central,51.46164,-2.59197,Private room,40,2,1,2018-05-07,0.08,1,0
24436990,Large ensuite double bedroom,7477410,Betty & Andrew,,Brislington West,51.43932,-2.55253,Private room,55,1,1,2018-07-29,0.10,3,79
24456335,"Comfy, great nights sleep in Bristol",63388767,Samantha,,Avonmouth & Lawrence Weston,51.4899,-2.67242,Private room,30,1,10,2019-05-17,0.79,1,158
24459098,"Southville, Bristol (short walk to city centre)",35413896,Simon,,Southville,51.44371,-2.6092,Entire home/apt,125,3,5,2019-04-13,0.42,1,6
24471854,"Chic, quiet double room in a hip part of town",1332288,Laura,,Bedminster,51.4364,-2.61039,Private room,33,1,40,2018-09-05,3.11,2,0
24511799,Spacious house opposite a lovely park.,15918759,Michael,,Windmill Hill,51.43834,-2.58883,Entire home/apt,95,3,1,2018-08-25,0.11,1,7
24522114,Beautiful apartment in Clifton Wood area,185237699,Andrey,,Clifton,51.45467,-2.61055,Private room,45,1,10,2019-05-13,4.55,1,2
24529755,New Loft-style flat in the heart of Bristol,19778662,Hannah,,Lawrence Hill,51.45684,-2.57629,Entire home/apt,115,2,13,2019-04-21,1.21,1,14
24530759,"Peaceful single room, 5 mins to
Gloucester Road",182900839,Noo,,Redland,51.47537,-2.59351,Private room,70,1,8,2019-05-05,0.74,3,180
24537596,Haven No. 3 - Your Apartment,125651447,Charlie,,Ashley,51.46032,-2.58654,Entire home/apt,70,1,5,2019-05-04,0.67,71,287
24552065,"New Townhouse Next to Cabot Circus, 3Bed/2Bath",7659170,Yvonne,,Ashley,51.46313,-2.58695,Entire home/apt,85,2,56,2019-05-12,4.64,1,57
24562587,Central - Free doorstep Parking - 24 HR Check In,185582135,Simon,,Central,51.45692,-2.59959,Entire home/apt,99,1,223,2019-05-17,17.79,2,288
24591949,"Charming 2 Bedroom Terraced Home-Bristol, Sleeps 4",124601267,Elizabeth,,St George Central,51.46129,-2.53553,Entire home/apt,50,2,24,2018-11-26,1.90,1,0
24592452,Small and cosy.,185828103,James,,Hengrove & Whitchurch Park,51.40698,-2.56666,Private room,20,1,14,2019-05-13,1.10,1,164
24599088,Travel Room M5 jct 19,56498632,Martin,,Avonmouth & Lawrence Weston,51.48826,-2.66673,Private room,35,1,1,2019-01-19,0.25,1,179
24613256,Family house in Central Bristol,12996560,Andrew,,Cotham,51.46837,-2.59852,Entire home/apt,135,2,4,2018-06-04,0.32,1,0
24628648,Cosy Victorian Terrace,185690746,Graham,,St George West,51.4576,-2.54593,Entire home/apt,40,2,16,2019-04-20,1.25,1,220
24629895,City center,181739044,Federica,,Lawrence Hill,51.4557,-2.58207,Private room,55,4,1,2018-05-06,0.08,2,0
24661400,"Large, eco friendly house near Gloucester Road",46200579,Ben,,Lockleaze,51.4788,-2.57549,Private room,36,2,66,2019-05-10,5.29,1,239
24695216,Belmont - yourapartment,125651447,Charlie,,Central,51.4524,-2.59667,Entire home/apt,68,1,5,2019-01-20,0.40,71,292
24695544,Sunnyside - yourapartment,125651447,Charlie,,Ashley,51.46012,-2.58792,Entire home/apt,105,2,4,2019-04-10,0.43,71,332
24711575,Your Own Urban Paradise with Garden,18414383,Jess,,Hotwells & Harbourside,51.4533,-2.60417,Entire home/apt,95,3,10,2019-02-24,0.90,2,144
24713264,Gorgeous Georgian House in Bristol,8529673,Helen,,Ashley,51.46842,-2.5836,Entire home/apt,200,2,12,2019-05-06,1.08,1,0
24722526,What a view too!,27909992,Jeremy,,St George Troopers Hill,51.4531,-2.53279,Private room,20,1,21,2019-05-12,1.75,1,247
24732735,Stunning central maisonette,21193288,Emily,,Clifton,51.45412,-2.61042,Entire home/apt,180,2,3,2018-07-22,0.23,1,0
24742925,Stunning large Georgian family House in Clifton,12110207,Kibi,,Clifton,51.45453,-2.61199,Entire home/apt,450,2,1,2018-07-17,0.10,2,0
24748215,Cosy and light apartment close to city center,116203943,Gemma,,Eastville,51.47118,-2.56216,Entire home/apt,50,2,9,2019-04-08,0.71,1,2
24753550,Beautiful city house with landscapes garden,124001680,Mike & Vita,,Easton,51.46082,-2.55612,Entire home/apt,60,2,6,2019-05-05,0.47,2,0
24777669,Gorgeous & Light Victorian Home - Private Garden,156091437,Heather,,Ashley,51.47297,-2.5741,Entire home/apt,90,2,28,2019-05-09,2.35,1,122
24789554,Cosy quiet studio 5 mins from Bristol Temple Meads,46399716,Charles,,Lawrence Hill,51.45359,-2.57736,Entire home/apt,48,2,34,2019-05-06,2.82,6,154
24803744,Family town house in Bristol,12893378,Natalie,,Bishopston & Ashley Down,51.47932,-2.58126,Entire home/apt,150,7,0,,,2,18
24805794,Modern Bristol apartment right in the city centre,43508379,Julian,,Central,51.45586,-2.59177,Entire home/apt,80,2,25,2019-05-04,2.10,1,139
24817486,Room in city centre,181739044,Federica,,Lawrence Hill,51.45737,-2.57851,Shared room,22,1,1,2018-08-04,0.10,2,85
24826207,"Modern city centre loft style, 2 Bed.",2736590,Jamie,,Central,51.45036,-2.58878,Entire home/apt,120,30,0,,,2,280
